Sr_No,Bank,No_of_Transactions,Total_Amount,Active_Customers_Count,Month,Year,Category
5954,MAHALAKSHMI CO-OPERATIVE BANK LTD UDUPI,765,23262.87,222,October,2024,Mobile Banking
5955,MAHANAGAR NAGRIK SAHAKARI BANK MYDT.,620,48231.5,108,October,2024,Mobile Banking
5956,MAHARASHTRA GRAMIN BANK,61859,600208.72,14257,October,2024,Mobile Banking
5957,"MAHESH SAHAKARI BANK LTD., PUNE",9206,113537.94,1233,October,2024,Mobile Banking
5958,MAHESH URBAN CO-OP. BANK LTD; PARBHANI,3985,394346.9,386,October,2024,Mobile Banking
5959,MAHESH URBAN CO-OP.BANK LTD.AHMEDPUR,956,9953.3,156,October,2024,Mobile Banking
5960,MAHILA NAGRIK SAHAKARI BANK MARYADIT MAHASAMUND  C.G.,8241,13336.16,3,October,2024,Mobile Banking
5961,MAKARPURA INDUSTRIAL ESTATE COOP BANK LTD.,1367,82324.07,158,October,2024,Mobile Banking
5962,MANIPUR RURAL BANK ,1009445,64637.71,572,October,2024,Mobile Banking
5963,"MANN DESHI MAHILA SAHAKARI BANK LTD., MHASWAD",168824,168379.43,1572,October,2024,Mobile Banking
5964,"MANSING CO-OP. BANK LTD., DUDHONDI",173,3779.37,38,October,2024,Mobile Banking
5965,MANVI PATTANA SOUHARDA SAHAKARI BANK NI.,1734,82285.04,236,October,2024,Mobile Banking
5966,"MARATHA CO-OPERATIVE BANK LTD., BELGAUM",1615,55168.12,186,October,2024,Mobile Banking
5967,MEGHALAYA RURAL BANK,1451312,1764728.26,5046,October,2024,Mobile Banking
5968,MEHSANA URBAN CO-OP. BANK LIMITED,1854405,4780.99,78736,October,2024,Mobile Banking
5969,MERCHANTS CO OPERATIVE BANK LTD TIPTUR,94,5973.11,12,October,2024,Mobile Banking
5970,MODEL CO-OP. BANK LTD.,16447,356464.9,3185,October,2024,Mobile Banking
5971,MUGBERIA CENTRAL COOPERATIVE BANK LIMITED,2584,69869.1,2627,October,2024,Mobile Banking
5972,NADIA DISTRICT CENTRAL COOPERATIVE BANK LTD,2255,8932.92,141,October,2024,Mobile Banking
5973,NAGARIK SAHAKARI BANK MARYADIT DURG,126,1288.96,234,October,2024,Mobile Banking
5974,NAGRIK SAHAKARI BANK MYDT VIDISHA ,876,36431.21,98,October,2024,Mobile Banking
5975,NAGRIK SAHKARI BANK MARYADIT GWALIOR,1044,16805.99,208,October,2024,Mobile Banking
5976,"NANDANI SAHAKARI BANK LTD, NANDANI",123616,273573.03,88,October,2024,Mobile Banking
5977,NASHIK ZILLA SARKARI & PARISHAD KARMACHARI SAHAKARI BANK NIYAMIT. NASHIK,122,1746.91,512,October,2024,Mobile Banking
5978,NAV JEEVAN CO-OP. BANK LTD.,5968,432954.44,1112,October,2024,Mobile Banking
5979,NAVANAGARA URBAN CO OP BANK LTD,1500,29132.64,322,October,2024,Mobile Banking
5980,NAVI MUMBAI CO-OP BANK LTD,6755,154280.93,6067,October,2024,Mobile Banking
5981,NAVSARJAN INDL CO-OP BANK LTD,18215,73567.56,542,October,2024,Mobile Banking
5982,NEW INDIA CO-OPERATIVE BANK LTD.,23051,489780.26,2047,October,2024,Mobile Banking
5983,NIDHI CO-OP. BANK LTD.,3805,190470.5,502,October,2024,Mobile Banking
5984,NKGSB CO-OPERATIVE BANK LIMITED,100484,2000694.04,8621,October,2024,Mobile Banking
5985,NORTH EAST SMALL FINANCE BANK LIMITED,25819,443228.5,6317,October,2024,Mobile Banking
5986,NSDL PAYMENTS BANK,28234017,18547389.41,703822,October,2024,Mobile Banking
5987,NUTAN NAGRIK SAHAKARI BANK LTD,418259,5468162.27,19237,October,2024,Mobile Banking
5988,"OMPRAKASH DEORA PEOPLES CO OP BANK LTD.,HINGOLI",3137,256301.76,550,October,2024,Mobile Banking
5989,PALI URBAN CO OPERATIVE BANK LTD.PALI (RAJASTHAN),4575,282410.17,2146,October,2024,Mobile Banking
5990,"PALUS SAHAKARI BANK LTD., PALUS",175997,580325.81,874,October,2024,Mobile Banking
5991,PATAN NAGARIK SAHAKARI BANK LTD,4575,250665.88,362,October,2024,Mobile Banking
5992,PAVANA SAHAKARI BANK LTD.,4457,105114.22,10606,October,2024,Mobile Banking
5993,PAYTM PAYMENTS BANK LIMITED,348311,223029.55,451858,October,2024,Mobile Banking
5994,PEOPLES CO OP BANK LTD DHOLKA,1404,153273.31,669,October,2024,Mobile Banking
5995,PEOPLE'S URBAN CO-OPERATIVE BANK LTD. TRIPUNITHURA.,48520,99266.18,475,October,2024,Mobile Banking
5996,POCHAMPALLY CO-OPERATIVE URBAN BANK LTD,510264,1572618.19,13526,October,2024,Mobile Banking
5997,"POORNAWADI NAGRIK SAH. BANK M., BEED",312175,905379.56,10433,October,2024,Mobile Banking
5998,PORBANDAR COMMERCIAL CO OP BANK LTD,1596,254501.53,199,October,2024,Mobile Banking
5999,PRAGATI SAHAKARI BANK LTD.VADODARA,6616,428029.19,2622,October,2024,Mobile Banking
6000,"PRARTHMIK SHIKSHAK SAHAKARI BANK LTD, SATARA",2125,14581.52,600,October,2024,Mobile Banking
6001,PRERANA CO OP BANK LTD.,16644,752127.52,9173,October,2024,Mobile Banking
6002,PRIME CO-OP. BANK LTD.,486982,5756166.87,1951,October,2024,Mobile Banking
6003,"PRIYADARSHANI NAGARI SAHAKARI BANK LTD., JALNA",251912,598220.64,4870,October,2024,Mobile Banking
6004,PROGRESSIVE MERCANTILE CO OP BANK LTD,1725,120277.37,377,October,2024,Mobile Banking
6005,PUDUVAI BHARATHIAR GRAMA BANK,23,371.03,62,October,2024,Mobile Banking
6006,PUNE CANTONMENT SAHAKARI BANK LTD.,315858,383819.6,11301,October,2024,Mobile Banking
6007,PUNE PEOPLE'S CO OP BANK LTD,34134,3358870.48,16957,October,2024,Mobile Banking
6008,PUNJAB & SIND BANK,471165,6970176.97,63182,October,2024,Mobile Banking
6009,PUNJAB NATIONAL BANK,872489060,1387662991,1617019,October,2024,Mobile Banking
6010,PUSAD URBAN BANK,1360,16245.35,424,October,2024,Mobile Banking
6011,QUILON CO-OPERATIVE URBAN BANK,18633,38643.27,102,October,2024,Mobile Banking
6012,RAJADHANI CO-OP URBAN BANK LTD,85553,149151.98,65,October,2024,Mobile Banking
6013,RAJAPUR URBAN CO-OP. BANK LTD.,388,8316.46,67,October,2024,Mobile Banking
6014,RAJARAMBAPU SAHAKARI BANK LTD; PETH,444928,1356530.67,14590,October,2024,Mobile Banking
6015,RAJASTHAN MARUDHARA GRAMIN BANK,185794,8399349.54,40230,October,2024,Mobile Banking
6016,RAJGURUNAGAR SAHAKARI BANK LTD.,45123,1841125.58,29335,October,2024,Mobile Banking
6017,RAJKOT NAGARIK SAHAKARI BANK LTD.,2353071,7659481.8,108877,October,2024,Mobile Banking
6018,RAJKOT PEOPLES CO-OPERATIVE BANK LTD.,50231,947177.84,839,October,2024,Mobile Banking
6019,RAMANATHAPURAM DCC BANK,238,1711.74,244,October,2024,Mobile Banking
6020,"RAMRAJYA SAHAKARI BANK LTD, PUNE",2483,22342.13,390,October,2024,Mobile Banking
6021,"RANI CHANNAMMA MAHILA SAHAKARI BANK NIYAMIT, BELAGAVI",72759,173244.59,2233,October,2024,Mobile Banking
6022,"RATNAGIRI DISTRICT CENTRAL COOPERATIVE BANK LTD., RATNAGIRI",153897,254735.83,3795,October,2024,Mobile Banking
6023,RBL BANK LIMITED,45814599,122611896.5,166718,October,2024,Mobile Banking
6024,"SADALGA URBAN SOUHARDA SAHAKARI BANK NIYAMIT.,SADALGA",248,3698.16,71,October,2024,Mobile Banking
6025,SADHANA SAHAKARI BANK LTD.,7337,191002.75,1020,October,2024,Mobile Banking
6026,"SAMARTH SAHAKARI BANK LTD., SOLAPUR",889445,1242387.02,716,October,2024,Mobile Banking
6027,"SAMARTH SAHAKARI BANK MARYADIT,JALNA.",216831,339828.43,1098,October,2024,Mobile Banking
6028,SAMATA COOPERATIVE DEVELOPMENT BANK LTD,290,3395.79,98,October,2024,Mobile Banking
6029,SAMPADA SAHAKARI BANK LTD PUNE,201148,250879.73,1840,October,2024,Mobile Banking
6030,"SAMRUDDHI CO-OP. BANK LTD., NAGPUR",221,3472.22,82,October,2024,Mobile Banking
6031,SANDIUR PATTANA SOUHARDA SAHAKARI BANK NI.,39235,107012.37,1752,October,2024,Mobile Banking
6032,SANMITRA MAHILA NAGARI SAHAKARI BANK MARYADIT ,792,44894.27,154,October,2024,Mobile Banking
6033,"SANT SOPANKAKA SAHAKARI BANK LTD.,SASWAD.",12193,1047870.76,1746,October,2024,Mobile Banking
6034,SAPTAGIRI GRAMEENA BANK,1266,18911.48,48,October,2024,Mobile Banking
6035,SARASPUR NAGARI CO-OP. BANK LTD.,20587,1320824.51,2236,October,2024,Mobile Banking
6036,SARASWAT CO-OP. BANK LTD,28579392,57349515.99,414370,October,2024,Mobile Banking
6037,SARDAR BHILADWALA PARDI PEOPLES CO-OPERATIVE BANK LTD.,180022,901676.86,1271,October,2024,Mobile Banking
6038,SARDAR SINGH NAGRIK SAHKARI BANK MYDT TIKAMGARH,1174,78623.13,170,October,2024,Mobile Banking
6039,SARDAR VALLABHBHAHI SAHAKARI BANK LTD,22849,474032.26,412,October,2024,Mobile Banking
6040,"SARDARGUNJ MERCANTILE CO-OPERATIVE BANK LTD., ANAND",6842,324212.49,923,October,2024,Mobile Banking
6041,SARVA HARYANA GRAMIN BANK,38343,1274786.22,8914,October,2024,Mobile Banking
6042,SARVODAYA COMMERCIAL CO-OPERATIVE BANK LTD MEHSANA,244583,2421441.3,2449,October,2024,Mobile Banking
6043,SARVODAYA NAGARIK SAHAKARI BANK LTD. HIMATNAGAR,4090,399734.87,4020,October,2024,Mobile Banking
6044,SAURASHTRA GRAMIN BANK,47279,2089425.61,11950,October,2024,Mobile Banking
6045,SBM BANK INDIA LTD,6308933,8987856.86,3813,October,2024,Mobile Banking
6046,SHARAD SAHAKARI BANK LTD MANCHAR,29244,830056.39,2499,October,2024,Mobile Banking
6047,SHINHAN BANK,34109,1192199.4,2606,October,2024,Mobile Banking
6048,SHIVALIK SMALL FINANCE BANK,51881,1570328.16,5447,October,2024,Mobile Banking
6049,SHRAMIK NAGRIK SAHAKARI BAN KLTD INDORE,597,2195.75,72,October,2024,Mobile Banking
6050,"SHREE BASAVESHWAR URBAN CO OPERATIVE BANK LTD.,RANEBENNUR",46,1191.72,82,October,2024,Mobile Banking
6051,SHREE DHARATI CO-OPERATIVE BANK LTD.,27245,240772.54,1789,October,2024,Mobile Banking
6052,SHREE KADI NAGARIK SAHAKARI BANK LTD.,526965,4083261.13,2700,October,2024,Mobile Banking
6053,SHREE MAHAVIR SAHAKARI BANK LTD JALGAON,112201,198148.02,6064,October,2024,Mobile Banking
6054,SHREE MAHESH CO-OP BANK LTD NASHIK,1673,123684.22,233,October,2024,Mobile Banking
6055,SHREE MAHUVA NAGRIK SAHAKARI BANK LTD.,1140,107526.05,150,October,2024,Mobile Banking
6056,SHREE PANCHGANGA NAGARI SAHAKARI BANK LTD. KOLHAPUR,2347,92716.11,426,October,2024,Mobile Banking
6057,SHREE TALAJA NAGRIK SHAKARI BANK LTD.,865,75091.63,124,October,2024,Mobile Banking
6058,SHREE VARDHAMAN SAHAKARI BANK LTD VADODARA,1358,98725.01,838,October,2024,Mobile Banking
6059,"SHREE WARANA SAHAKARI BANK LTD, WARANANAGAR",6308,272640.48,830,October,2024,Mobile Banking
6060,"SHRI ADINATH CO-OP. BANK LTD., ICHALKARANJI",259,7317.1,55,October,2024,Mobile Banking
6061,SHRI ANAND NAGARI SAHAKARI BANK LTD.,431,5050.64,1208,October,2024,Mobile Banking
6062,SHRI ARIHANT CO-OP BANK LTD,15204,392218.63,1610,October,2024,Mobile Banking
6063,SHRI CHHANI NAGRIK SAHAKARI BANK LTD,10005,52605.76,43,October,2024,Mobile Banking
6064,"SHRI CHHATRAPATI RAJARSHI SHAHU URBAN CO-OP. BANK LTD., BEED",1188800,4503951.86,3398,October,2024,Mobile Banking
6065,SHRI GAJANAN NAGARI SAHAKARI BANK LTD.,537,19589.22,315,October,2024,Mobile Banking
6066,SHRI JANATA SAHAKARI BANK LTD HALOL,29791,249455.89,1374,October,2024,Mobile Banking
6067,SHRI KANYAKA NAGARI SAHAKARI BANK LTD,1230,108155.28,714,October,2024,Mobile Banking
6068,"SHRI MAHALAXMI CO-OP. BANK LTD., KOLHAPUR",2162,36719.19,495,October,2024,Mobile Banking
6069,SHRI MAHILA SEWA SAHAKARI BANK LTD.,348,3326.65,155,October,2024,Mobile Banking
6070,SHRI RAJKOT DISTRICT CENTRAL CO-OP BANK LTD.,29358,1255838.4,5466,October,2024,Mobile Banking
6071,SHRI RUKMINI SAHAKARI BANK LTD SHRIGONDA,274,6308.22,37,October,2024,Mobile Banking
6072,"SHRI SHIVAYOGI MURUGHENDRA SWAMI URBANCO-OP. BANK LTD., ATHANI",12,826.62,34,October,2024,Mobile Banking
6073,SHRI SHIVESHWAR NAGARI SAHAKARI BANK LTD; BASMATHNAGAR,2689,236827.67,391,October,2024,Mobile Banking
6074,SHRI SWAMI SAMARTH SAHAKARI BANK LTD,4557,52461.61,234,October,2024,Mobile Banking
6075,"SHRI. D. T. PATIL CO-OPERATIVE BANK LTD., CHIKODI",967,4067.79,31,October,2024,Mobile Banking
6076,"SHRIKRISHNA CO-OPERATIVE BANK LTD., UMRED",441,82287.19,119,October,2024,Mobile Banking
6077,"SHRIRAM URBAN CO-OPERATIVE BANK LTD., NAGPUR",668,6077.13,76,October,2024,Mobile Banking
6078,SIDDHESHWAR URBAN CO OPERATIVE BANK MYDT SILLOD,59986,83731.36,726,October,2024,Mobile Banking
6079,SIKAR KENDRIYA SAHKARI BANK LTD.,422,8145.78,172,October,2024,Mobile Banking
6080,SIKKIM STATE CO-OPERATIVE BANK LTD,2365,36905.26,1038,October,2024,Mobile Banking
6081,SINDHUDURG DISTRICT CENTRAL CO. OPERATIVE BANK LTD. SINDHUDURG,16946,211469.92,3875,October,2024,Mobile Banking
6082,SIVAGANGAI DISTRICT CENTRAL CO-OPERATIVE BANK LTD,26,149.57,31,October,2024,Mobile Banking
6083,SOUTH INDIAN BANK,63903236,175690833.8,1893199,October,2024,Mobile Banking
6084,"SPSR NDCCBANK LTD., NELLORE.",2910,57647.63,890,October,2024,Mobile Banking
6085,SREE CHARAN SOUHARDHA CO-OPERATIVE BANK LTD.,83163,72960.42,4479,October,2024,Mobile Banking
6086,SREENIDHI SOUHARDA SAHAKARI BANK NIYAMITHA,43088,89678.26,136,October,2024,Mobile Banking
6087,"SRI GANAPATHI URBAN CO-OP. BANK LTD., SAGAR",5762,12817.22,110,October,2024,Mobile Banking
6088,SRI GOKARNANATH CO OPERATIVE BANK LTD,7862,15029.07,1062,October,2024,Mobile Banking
6089,SRI RAMA CO-OP BANK LTD,15,105.71,361,October,2024,Mobile Banking
6090,SRI SUDHA CO-OPERATIVE BANK LTD,158,7344.16,158,October,2024,Mobile Banking
6091,STANDARD CHARTERED BANK,837622,32914886.15,272665,October,2024,Mobile Banking
6092,STANDARD URBAN CO-OP BANK(AURANGABAD)LTD.,1725,12737.07,458,October,2024,Mobile Banking
6093,STATE BANK OF INDIA ,4112357709,8013075146,134927400,October,2024,Mobile Banking
6094,SUCO SOUHARDA SAHAKARI BANK LTD.,8022,1294796.21,1087,October,2024,Mobile Banking
6095,"SUNDARLAL SAWJI URBAN CO-OP BANK LTD., JINTUR",16944,1455917.64,2057,October,2024,Mobile Banking
6096,SURAT NATIONAL CO-OP BANK LTD.,36791,3587441.16,4249,October,2024,Mobile Banking
6097,SURYODAY SMALL FINANCE BANK LIMITED,101631,4329817.09,78782,October,2024,Mobile Banking
6098,SVC CO OP BANK LTD ,8800596,15087024.27,33537,October,2024,Mobile Banking
6099,"SWATANTRYA SENANI LATE SHRIPAL ALASE (KAKA) KURUNDWAD URBAN CO-OP BANK LTD., KURUNDWAD",95,1888.87,27,October,2024,Mobile Banking
6100,TAMIL NADU GRAMA BANK,5161,29986.09,978,October,2024,Mobile Banking
6101,TAMIL NADU STATE APEX CO-OP. BANK,1419,45769.38,789,October,2024,Mobile Banking
6102,TAMILNAD MERCANTILE BANK LTD,1660385,50708440.26,226660,October,2024,Mobile Banking
6103,TAMLUK GHATAL CENTRAL CO-OPERATIVE BANK LTD.,11479,159375.03,3580,October,2024,Mobile Banking
6104,TEACHERS CO OPERATIVE BANK LTD,2052,77761.51,4476,October,2024,Mobile Banking
6105,TELANGANA GRAMEENA BANK,56085,1641447.46,19208,October,2024,Mobile Banking
6106,"TEXTILE CO OPERATIVE BANK LTD, BANGALORE",316,2570.21,37,October,2024,Mobile Banking
6107,TEXTILE TRADERS COOPERATIVE BANK LIMITED,24849,527447.31,1359,October,2024,Mobile Banking
6108,THANE BHARAT SAHAKARI BANK LIMITED,21622,359434.31,3530,October,2024,Mobile Banking
6109,THE ACCOUNTANT GENERALS OFFICE EMPLOYEES CO-OPERATIVE BANK LIMITED,645,23215.3,752,October,2024,Mobile Banking
6110,"THE ADARSH CO-OP. URBAN BANK LTD,HYDERABAD",8758,415890.76,1154,October,2024,Mobile Banking
6111,"THE ADILABAD DIST. COOP. CENTRAL BANK LTD., ADILABAD",2486,62713.51,520,October,2024,Mobile Banking
6112,THE ADINATH CO-OPERATIVE BANK LTD.,672,35385.68,375,October,2024,Mobile Banking
6113,THE AHMEDABAD DISTRICT CO-OPERATIVE BANK LTD,1696187,5152892.85,2568,October,2024,Mobile Banking
6114,THE AHMEDABAD MERCANTILE CO-OP. BANK LTD.,543984,8519832.65,7677,October,2024,Mobile Banking
6115,THE AHMEDNAGAR DISTRICT CENTRAL CO-OPERATIVE BANK LTD; AHMEDNAGAR,635737,1053093.47,819,October,2024,Mobile Banking
6116,"THE AJARA URBAN CO-OP. BANK LTD., AJARA",2229,105858.23,229,October,2024,Mobile Banking
6117,"THE AKOLA DISTRICT CENTRAL CO-OPERATIVE BANK LTD., AKOLA",60342,13314517.34,18233,October,2024,Mobile Banking
6118,"THE AKOLA JANATA COMMERCIAL CO-OP. BANK LTD., AKOLA",175022,1818167.18,9622,October,2024,Mobile Banking
6119,"THE AKOLA URBAN CO-OPERATIVE BANK LTD., AKOLA.",132316,317418.52,2003,October,2024,Mobile Banking
6120,THE AMARAVATI ZILLHA PARISHAD SHIKSHAK SAH. BANK LTD AMRAVATI,42110,174698.95,1114,October,2024,Mobile Banking
6121,THE ANAND MERCANTILE CO.OPERATIVE BANK LTD,17905,175609.76,4329,October,2024,Mobile Banking
6122,THE ANDHRA PRADESH STATE CO-OPERATIVE BANK LTD.,6600,166631.49,1737,October,2024,Mobile Banking
6123,THE ANNASAHEB SAVANT CO-OP. URBAN BANK MAHAD LTD.,12927,36613.27,349,October,2024,Mobile Banking
6124,THE ASHTA PEOPLES CO-OP BANK LTD ASHTA,60122,119534.88,138,October,2024,Mobile Banking
6125,THE BABASAHEB DESHMUKH SAHAKARI BANK LTD ATPADI,15,217.75,9,October,2024,Mobile Banking
6126,THE BANASKNATHA MERCANTLE CO-OPERATIVE BANK LTD,40602,3446224.2,3389,October,2024,Mobile Banking
6127,THE BANGALORE CITY CO OPERATIVE BANK LTD.,1314,30127.68,708,October,2024,Mobile Banking
6128,THE BAPUNAGAR MAHILA CO-OPERATIVE BANK LIMITED,704,34004.47,736,October,2024,Mobile Banking
6129,THE BARDOLI NAGRIK SAHAKARI BANK LTD.,1885,101386.83,255,October,2024,Mobile Banking
6130,"THE BARODA CENTRAL CO-OP BANK LTD., BARODA",1618040,3071012.14,169,October,2024,Mobile Banking
6131,THE BARODA CITY CO.OPERATIVE BANK LTD,2877,142998.9,324,October,2024,Mobile Banking
6132,THE BAVLA NAGRIK SAHKARI BANK LTD,16879,395296.85,1100,October,2024,Mobile Banking
6133,THE BELLARY DISTRICT CO-OPERATIVE CENTRAL BANK LTD.,7632,215632.82,7632,October,2024,Mobile Banking
6134,THE BHAGYALAKSHMI MAHILA SAHAKARI BANK LTD.,12698,573150.52,1485,October,2024,Mobile Banking
6135,THE BHAGYODAYA CO-OP. BANK LTD.,7235,689643,729,October,2024,Mobile Banking
6136,THE BHANDARA URBAN CO-OP. BANK LTD. BHANDARA,498,15567.35,151,October,2024,Mobile Banking
6137,THE BHARUCH DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,129130,255448.63,1991,October,2024,Mobile Banking
6138,THE BHIWANI CENTRAL COOPERATIVE BANK LTD;BHIWANI,3203,112653.15,1573,October,2024,Mobile Banking
6139,THE BHUJ COMMERCIAL CO OPERATIVE BANK LTD.,30260,733213.45,511,October,2024,Mobile Banking
6140,THE BHUJ MERCANTILE CO-OP LTD,709,63154.38,139,October,2024,Mobile Banking
6141,THE BICHOLIM URBAN CO-OPERATIVE BANK LTD,10478,103344.14,1683,October,2024,Mobile Banking
6142,THE BURDWAN CO-OP BANK,14294,206887.54,19598,October,2024,Mobile Banking
6143,"THE BUSINESS CO OP BANK LTD,NASHIK ROAD",194906,625385.27,4021,October,2024,Mobile Banking
6144,THE CALICUT CO-OPERATIVE URBAN BANK LTD,723,3576.12,243,October,2024,Mobile Banking
6145,THE CENTRAL CO-OPERATIVE BANK LTD. BIKANER,2099,26955.97,413,October,2024,Mobile Banking
6146,THE CHANASMA NAGRIK SAHAKARI BANK LTD,897,58245.29,107,October,2024,Mobile Banking
6147,THE CHANDIGARH STATE COOP BANK LTD,35556,82208.52,213,October,2024,Mobile Banking
6148,THE CHANDWAD MERCHANTS COOP BANK LTD,3861,130067.2,339,October,2024,Mobile Banking
6149,THE CHERPALCHERI CO OPERATIVE URBAN BANK LTD,670,7135.8,157,October,2024,Mobile Banking
6150,THE CHHAPI NAGRIK SAHAKARI BANK LTD,506,37184.68,90,October,2024,Mobile Banking
6151,THE CHIKHLI URBAN CO-OP. BANK LTD.,187360,1812479.33,14941,October,2024,Mobile Banking
6152,THE CHIPLUN URBAN CO-OP BANK LTD CHIPLUN ,251,2906.8,28,October,2024,Mobile Banking
6153,"THE CHITRADURGA DISTICT COOPERATIVE CENTRAL BANK LTD., CHITRADURGA",471,34102.28,497,October,2024,Mobile Banking
6154,THE CHITTOOR DISTRICT COOPERATIVE CENTRAL BANK LTD. CHITTOOR AP,2444,68248.04,859,October,2024,Mobile Banking
6155,THE COIMBATORE DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,459,4815.68,172,October,2024,Mobile Banking
6156,"THE COMMERCIAL CO-OP. BANK LTD., KOLHAPUR",2818,50556.19,383,October,2024,Mobile Banking
6157,THE COMMERCIAL CO-OPERATIVE BANK LTD -JAMNAGAR,8812,711866.55,929,October,2024,Mobile Banking
6158,THE CO-OPERATIVE BANK OF MEHSANA LTD.,34525,372227.45,462,October,2024,Mobile Banking
6159,"THE CO-OPERATIVE BANK OF RAJKOT LTD.,RAJKOT",31093,2176179.81,4363,October,2024,Mobile Banking
6160,THE COSMOS CO-OP BANK LIMITED,10171956,21779173.34,238860,October,2024,Mobile Banking
6161,THE CUDDALORE DISTRICT CENTRAL COOPERATIVE BANK LTD.,71,426.03,98,October,2024,Mobile Banking
6162,THE DAHOD MERCANTILE CO OP BANK LTD,3794,548645.43,423,October,2024,Mobile Banking
6163,"THE DAHOD URBAN CO.-OP. BANK LTD.,DAHOD",116379,1231631.68,730,October,2024,Mobile Banking
6164,"THE DAVANGERE URBAN CO-OPERATIVE BANK LTD.,",926,51108.88,381,October,2024,Mobile Banking
6165,"THE DAVANGERE-HARIHARA URBAN SAHAKARI BANK NIYAMIT, DAVANGERE",70,1107.91,40,October,2024,Mobile Banking
6166,THE DHANBAD CENTRAL CO-OPERATIVE BANK LTD,45328,79406.88,37,October,2024,Mobile Banking
6167,THE DHARMAPURI DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,1041,12609.95,493,October,2024,Mobile Banking
6168,"THE DISTRICT CENTRAL CO OPERATIVE BANK LTD.,WARANGAL ",1538,27332.68,3300,October,2024,Mobile Banking
6169,"THE DISTRICT CO-OPERATIVE CENTRAL BANK LTD., VISAKHAPATNAM",1588,24064.49,3610,October,2024,Mobile Banking
6170,"THE DISTRICT COOPERATIVE CENTRAL BANK LTD.,KHAMMAM",439,6426.7,158,October,2024,Mobile Banking
6171,THE DISTRICT CO-OPERATIVE CENTRAL BANK LTD.ELURU,2759,53602,7029,October,2024,Mobile Banking
6172,THE EENADU CO-OP. URBAN BANK LTD.,1815,77041,238,October,2024,Mobile Banking
6173,THE ELURI CO OPERATIVE URBAN BANK LTD,104,616.93,176,October,2024,Mobile Banking
6174,THE ERODE DISTRICT CENTRAL CO-OPERATIVE BANK LTD.,93689,142584.56,358,October,2024,Mobile Banking
6175,THE FINANCIAL CO-OPERATIVE BANK LTD.,3955,130720.38,2307,October,2024,Mobile Banking
6176,THE GANDEVI PEOPLE'S CO-OP.BANK LTD,37481,200603.97,316,October,2024,Mobile Banking
6177,THE GANDHI GUNJ CO-OPERATIVE BANK LTD,15949,87491.74,270,October,2024,Mobile Banking
6178,THE GANDHIDHAM CO OPERATIVE BANK LTD,1999,374982.83,341,October,2024,Mobile Banking
6179,THE GANDHIDHAM MERCANTILE CO-OPERATIVE BANK LTD.,5128,300373.82,606,October,2024,Mobile Banking
6180,THE GANDHINAGAR NAGARIK CO-OP. BANK LTD.,34022,160831.63,310,October,2024,Mobile Banking
6181,THE GANDHINAGAR URBAN CO OP BANK LTD.,19231,91466.76,129,October,2024,Mobile Banking
6182,THE GOA URBAN CO-OPERATIVE BANK,716,4852.03,32,October,2024,Mobile Banking
6183,THE GODHRA URBAN CO OP BANK,56959,755723.5,5227,October,2024,Mobile Banking
6184,THE GRAIN MERCHANT'S CO-OPERATIVE BANK LTD,30,3480.36,259,October,2024,Mobile Banking
6185,THE GREATER BOMBAY CO-OP BANK LTD,17316,429005.61,3250,October,2024,Mobile Banking
